id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_json,game_json_url,game_date_time,game_date,PBP,team_box,player_box
234000062,s:40~l:41~e:234000062~c:234000062,2003-04-06T01:47Z,54432,TRUE,FALSE,FALSE,FALSE,2003-04-06T01:47Z,event,FINAL FOUR,,,3493,Caesars Superdome,New Orleans,LA,0,TRUE,10,0:10,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,TRUE,7317,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,84,FALSE,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,95,TRUE,234000062,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000062.json,2003-04-06T01:47:00Z,2003-04-05,TRUE,FALSE,FALSE
234000030,s:40~l:41~e:234000030~c:234000030,2003-03-30T22:05Z,30169,TRUE,FALSE,FALSE,FALSE,2003-03-30T22:05Z,event,SOUTH REGIONAL,,,,,,,,,15,0:15,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,TRUE,7317,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,85,TRUE,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,76,FALSE,234000030,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000030.json,2003-03-30T22:05:00Z,2003-03-30,TRUE,FALSE,FALSE
234000046,s:40~l:41~e:234000046~c:234000046,2003-03-30T19:40Z,15207,TRUE,FALSE,FALSE,FALSE,2003-03-30T19:40Z,event,EAST REGIONAL,,,20,MVP Arena,Albany,NY,15727,TRUE,31,0:31,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,201,s:40~l:41~t:201,Oklahoma,Sooners,OU,Oklahoma Sooners,Oklahoma,9d2235,ffffff,TRUE,1991,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,8,47,FALSE,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,63,TRUE,234000046,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000046.json,2003-03-30T19:40:00Z,2003-03-30,TRUE,FALSE,FALSE
234000015,s:40~l:41~e:234000015~c:234000015,2003-03-30T00:05Z,17439,TRUE,FALSE,FALSE,FALSE,2003-03-30T00:05Z,event,WEST REGIONAL,,,1842,Honda Center,Anaheim,CA,0,FALSE,7,0:07,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,12,s:40~l:41~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,0c234b,ab0520,TRUE,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,75,FALSE,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0051ba,e8000d,TRUE,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,78,TRUE,234000015,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000015.json,2003-03-30T00:05:00Z,2003-03-29,TRUE,FALSE,FALSE
234000061,s:40~l:41~e:234000061~c:234000061,2003-03-29T21:40Z,28382,TRUE,FALSE,FALSE,FALSE,2003-03-29T21:40Z,event,MIDWEST REGIONAL,,,,,,,,,30,0:30,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,69,FALSE,269,s:40~l:41~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,TRUE,5777,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,11,83,TRUE,234000061,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000061.json,2003-03-29T21:40:00Z,2003-03-29,TRUE,FALSE,FALSE
234000029,s:40~l:41~e:234000029~c:234000029,2003-03-29T02:50Z,33009,TRUE,FALSE,FALSE,FALSE,2003-03-29T02:50Z,event,SOUTH REGIONAL,,,,,,,,,7,0:07,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,120,s:40~l:41~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,58,FALSE,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,60,TRUE,234000029,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000029.json,2003-03-29T02:50:00Z,2003-03-28,TRUE,FALSE,FALSE
234000045,s:40~l:41~e:234000045~c:234000045,2003-03-29T02:30Z,15093,TRUE,FALSE,FALSE,FALSE,2003-03-29T02:30Z,event,EAST REGIONAL,,,20,MVP Arena,Albany,NY,15727,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,79,TRUE,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,TRUE,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,78,FALSE,234000045,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000045.json,2003-03-29T02:30:00Z,2003-03-28,TRUE,FALSE,FALSE
234000022,s:40~l:41~e:234000022~c:234000022,2003-03-29T00:27Z,33009,TRUE,FALSE,FALSE,FALSE,2003-03-29T00:27Z,event,SOUTH REGIONAL,,,,,,,,,2,0:02,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,TRUE,7317,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,82,TRUE,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,78,FALSE,234000022,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000022.json,2003-03-29T00:27:00Z,2003-03-28,TRUE,FALSE,FALSE
234000038,s:40~l:41~e:234000038~c:234000038,2003-03-29T00:10Z,15093,TRUE,FALSE,FALSE,FALSE,2003-03-29T00:10Z,event,EAST REGIONAL,,,20,MVP Arena,Albany,NY,15727,TRUE,5,0:05,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,201,s:40~l:41~t:201,Oklahoma,Sooners,OU,Oklahoma Sooners,Oklahoma,9d2235,ffffff,TRUE,1991,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,8,65,TRUE,2086,s:40~l:41~t:2086,Butler,Bulldogs,BUT,Butler Bulldogs,Butler,0d1361,00a3e0,TRUE,2032,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,45,54,FALSE,234000038,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000038.json,2003-03-29T00:10:00Z,2003-03-28,TRUE,FALSE,FALSE
234000014,s:40~l:41~e:234000014~c:234000014,2003-03-28T02:50Z,17607,TRUE,FALSE,FALSE,FALSE,2003-03-28T02:50Z,event,WEST REGIONAL,,,1842,Honda Center,Anaheim,CA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0051ba,e8000d,TRUE,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,69,TRUE,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,65,FALSE,234000014,2003,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/234000014.json,2003-03-28T02:50:00Z,2003-03-27,TRUE,FALSE,FALSE
